"省份","城市","AQI","空气质量","PM2.5浓度","首要污染物","lng","lat"
"新疆","乌鲁木齐","175","中度污染","132 ug/m3","PM2.5","88.31104","43.36378"
"四川","成都","117","轻度污染","88 ug/m3","PM2.5","104.10194","30.65984"
"江苏","徐州","114","轻度污染","86 ug/m3","PM2.5","117.18554","34.28823"
"甘肃","兰州","113","轻度污染","85 ug/m3","PM2.5","103.71878","36.10396"
"陕西","西安","110","轻度污染","83 ug/m3","PM2.5","108.93425","34.23053"
"江苏","常州","98","良","73 ug/m3","PM2.5","119.59794","31.72322"
"江苏","宿迁","98","良","73 ug/m3","PM2.5","118.24238","33.96315"
"辽宁","沈阳","95","良","71 ug/m3","PM2.5","123.46987","41.80515"
"黑龙江","哈尔滨","94","良","70 ug/m3","PM2.5","126.95717","45.54774"
"上海","上海","94","良","56 ug/m3","NO2","121.48941","31.40527"
"湖北","武汉","93","良","56 ug/m3","NO2","114.02919","30.58203"
"江苏","镇江","93","良","69 ug/m3","PM2.5","119.43396","32.13188"
"浙江","丽水","92","良","68 ug/m3","PM2.5","119.91284","28.44594"
"江苏","连云港","92","良","68 ug/m3","PM2.5","119.1773","34.84065"
"青海","西宁","91","良","66 ug/m3","PM10","101.76628","36.6502"
"江苏","扬州","89","良","66 ug/m3","PM2.5","119.43157","32.39463"
"江苏","无锡","89","良","66 ug/m3","PM2.5","120.28429","31.52853"
"江苏","泰州","88","良","65 ug/m3","PM2.5","119.88116","32.31841"
"江苏","南通","88","良","65 ug/m3","PM2.5","120.85737","32.00986"
"江苏","苏州","87","良","64 ug/m3","PM2.5","120.63132","31.30227"
"吉林","长春","87","良","64 ug/m3","PM2.5","125.28845","43.83327"
"浙江","嘉兴","87","良","64 ug/m3","PM2.5","120.78483","30.74744"
"安徽","合肥","85","良","58 ug/m3","NO2","117.30794","31.79322"
"河北","邯郸","84","良","62 ug/m3","PM2.5","114.49339","36.61853"
"浙江","绍兴","83","良","61 ug/m3","PM2.5","120.49476","30.08189"
"浙江","宁波","82","良","60 ug/m3","PM2.5","121.84431","29.89889"
"河北","邢台","82","良","60 ug/m3","PM2.5","114.50713","37.06787"
"江苏","淮安","80","良","59 ug/m3","PM10,PM2.5","118.8735","33.29433"
"江苏","盐城","80","良","59 ug/m3","PM10,PM2.5","120.50102","33.20107"
"浙江","杭州","79","良","58 ug/m3","PM2.5","120.21201","30.2084"
"江苏","南京","78","良","53 ug/m3","NO2","118.8921","31.32751"
"贵州","贵阳","78","良","57 ug/m3","PM2.5","106.62304","26.67856"
"宁夏","银川","77","良","56 ug/m3","PM2.5","106.24284","38.47314"
"山西","太原","76","良","49 ug/m3","PM10","112.48699","37.94036"
"浙江","湖州","75","良","55 ug/m3","PM2.5","120.41847","30.84979"
"浙江","台州","75","良","55 ug/m3","PM2.5","121.26295","28.64965"
"重庆","重庆","75","良","55 ug/m3","PM2.5","106.54041","29.40268"
"浙江","金华","69","良","50 ug/m3","PM2.5","119.69311","29.09914"
"海南","海口","69","良","50 ug/m3","PM2.5","110.32941","20.02971"
"山东","青岛","69","良","36 ug/m3","NO2","120.39629","36.30744"
"河北","石家庄","65","良","45 ug/m3","PM10","114.53952","38.03647"
"湖南","长沙","64","良","46 ug/m3","PM2.5","112.98626","28.25591"
"江西","南昌","63","良","39 ug/m3","NO2","115.89925","28.68503"
"山东","济南","63","良","32 ug/m3","PM10","116.75199","36.55358"
"浙江","衢州","62","良","44 ug/m3","PM2.5","118.87117","28.96864"
"广东","深圳","62","良","44 ug/m3","PM2.5","113.88308","22.55329"
"浙江","舟山","61","良","42 ug/m3","PM10","122.10679","30.01979"
"河南","郑州","61","良","43 ug/m3","PM10","113.6401","34.72468"
"云南","昆明","60","良","42 ug/m3","PM10","102.82147","24.88554"
"广东","珠海","58","良","41 ug/m3","PM2.5","113.29658","22.20903"
"浙江","温州","58","良","41 ug/m3","PM10,PM2.5","121.1572","27.83616"
"河北","衡水","58","良","41 ug/m3","PM2.5","115.57938","37.55085"
"广西","南宁","57","良","36 ug/m3","PM10","108.27331","22.78129"
"河北","沧州","57","良","37 ug/m3","PM10","116.86622","38.31419"
"西藏","拉萨","56","良","19 ug/m3","PM10","91.13775","29.65262"
"广东","惠州","55","良","39 ug/m3","PM2.5","114.38273","23.08383"
"福建","福州","55","良","39 ug/m3","PM2.5","119.27345","26.04769"
"河北","保定","54","良","35 ug/m3","PM10","115.45875","38.87757"
"广东","肇庆","54","良","38 ug/m3","PM10,PM2.5","112.56706","23.15815"
"内蒙古","呼和浩特","53","良","23 ug/m3","NO2","111.62299","40.80772"
"广东","佛山","52","良","32 ug/m3","PM10","112.89262","22.90026"
"福建","厦门","52","良","36 ug/m3","PM10,PM2.5","118.03394","24.48405"
"河北","唐山","50","优","26 ug/m3","","118.46023","39.27313"
"广东","东莞","50","优","35 ug/m3","","113.75179","23.02067"
"广东","中山","50","优","35 ug/m3","","113.3926","22.51595"
"广东","江门","48","优","31 ug/m3","","113.11103","22.56028"
"广东","广州","46","优","26 ug/m3","","113.27324","23.15792"
"天津","天津","43","优","18 ug/m3","","117.30983","39.71755"
"河北","承德","42","优","12 ug/m3","","117.80024","40.95913"
"河北","张家口","40","优","18 ug/m3","","115.28264","40.97457"
"河北","秦皇岛","40","优","17 ug/m3","","119.48458","39.83507"
"北京","北京","37","优","7 ug/m3","","116.23128","40.22077"
"辽宁","大连","36","优","20 ug/m3","","121.5255","38.95223"
"河北","廊坊","35","优","14 ug/m3","","116.68572","39.50311"
